,c_code,Year,Total Revenue,Gross Profit,Operating Income,Net Income,EBITDA,Diluted EPS,Total Assets,Total Liabilities,Total Equity,Revenue Growth,Earnings Growth
1,1002,2020,386064000000.0,51500000000.0,22899000000.0,21331000000.0,51076000000.0,4.68,321195000000.0,227791000000.0,93404000000.0,0.11,0.521
2,1002,2021,469822000000.0,66315000000.0,24879000000.0,33364000000.0,74393000000.0,4.68,420549000000.0,282304000000.0,138245000000.0,0.11,0.521
3,1002,2022,513983000000.0,67640000000.0,12248000000.0,-2722000000.0,38352000000.0,4.68,462675000000.0,316632000000.0,146043000000.0,0.11,0.521
4,1002,2023,574785000000.0,93805000000.0,36852000000.0,30425000000.0,89402000000.0,4.68,527854000000.0,325979000000.0,201875000000.0,0.11,0.521
6,1003,2021,195929000000.0,25245000000.0,6708000000.0,5007000000.0,8632000000.0,16.52,59268000000.0,41190000000.0,17564000000.0,0.01,0.088
7,1003,2022,226954000000.0,27572000000.0,7793000000.0,5844000000.0,9898000000.0,16.52,64166000000.0,43519000000.0,20642000000.0,0.01,0.088
8,1003,2023,242290000000.0,29704000000.0,8114000000.0,6292000000.0,10724000000.0,16.52,68994000000.0,43936000000.0,25058000000.0,0.01,0.088
9,1003,2024,254453000000.0,32095000000.0,9285000000.0,7367000000.0,12146000000.0,16.52,69831000000.0,46209000000.0,23622000000.0,0.01,0.088
11,1004,2021,132110000000.0,44853000000.0,18278000000.0,12866000000.0,20844000000.0,14.88,70581000000.0,67282000000.0,3299000000.0,0.006,-0.011
12,1004,2022,151157000000.0,50832000000.0,23040000000.0,16433000000.0,25946000000.0,14.88,71876000000.0,73572000000.0,-1696000000.0,0.006,-0.011
13,1004,2023,157403000000.0,52778000000.0,24039000000.0,17105000000.0,27069000000.0,14.88,76445000000.0,74883000000.0,1562000000.0,0.006,-0.011
14,1004,2024,152669000000.0,50960000000.0,21689000000.0,15143000000.0,25114000000.0,14.88,76530000000.0,75486000000.0,1044000000.0,0.006,-0.011
16,1005,2021,93561000000.0,27384000000.0,6539000000.0,4368000000.0,9008000000.0,9.68,51248000000.0,36808000000.0,14440000000.0,0.027,0.428
17,1005,2022,106005000000.0,31042000000.0,8946000000.0,6946000000.0,11970000000.0,9.68,53811000000.0,40984000000.0,12827000000.0,0.027,0.428
18,1005,2023,109120000000.0,26891000000.0,3848000000.0,2780000000.0,6596000000.0,9.68,53335000000.0,42103000000.0,11232000000.0,0.027,0.428
19,1005,2024,107412000000.0,29676000000.0,5707000000.0,4138000000.0,8600000000.0,9.68,55356000000.0,41924000000.0,13432000000.0,0.027,0.428
20,1001,2021,559151000000.0,138836000000.0,22548000000.0,13510000000.0,34031000000.0,1.92,252496000000.0,164965000000.0,80925000000.0,0.048,-0.423
21,1001,2022,572754000000.0,143754000000.0,25942000000.0,13673000000.0,31348000000.0,1.92,244860000000.0,152969000000.0,83253000000.0,0.048,-0.423
22,1001,2023,611289000000.0,147568000000.0,20428000000.0,11680000000.0,30089000000.0,1.92,243197000000.0,159206000000.0,76693000000.0,0.048,-0.423
23,1001,2024,648125000000.0,157983000000.0,27012000000.0,15511000000.0,36384000000.0,1.92,252399000000.0,161828000000.0,83861000000.0,0.048,-0.423
